Geneid	H2O	Y173	Y299	Y550	Y594
Millet_GLEAN_10033225	21	29	24	8	16
Millet_GLEAN_10033224	111	275	259	105	539
Millet_GLEAN_10033223	0	0	0	0	0
Millet_GLEAN_10033222	193	658	653	276	655
Millet_GLEAN_10033221	521	1150	1054	430	1822
Millet_GLEAN_10033220	0	0	0	0	0
Millet_GLEAN_10033219	4301	12030	10947	5272	13448
Millet_GLEAN_10033218	1228	3161	2582	1430	3038
Millet_GLEAN_10033217	274	722	710	304	1118
Millet_GLEAN_10033216	926	2391	1678	930	2543
Millet_GLEAN_10033215	0	0	0	0	0
Millet_GLEAN_10033214	4377	9102	7377	5088	16565
Millet_GLEAN_10033213	1038	2874	2220	1290	3501
Millet_GLEAN_10033212	0	0	10	2	0
Millet_GLEAN_10033211	736	1599	1374	906	2537
Millet_GLEAN_10033210	1308	3484	2462	2115	4133
Millet_GLEAN_10033209	3421	3810	7324	6575	6856
Millet_GLEAN_10033208	18	38	70	17	51
Millet_GLEAN_10033207	0	0	0	0	0
Millet_GLEAN_10033206	0	0	0	0	0
Millet_GLEAN_10033205	38	29	56	57	85
Millet_GLEAN_10033204	17309	35208	25550	18702	61258
Millet_GLEAN_10033203	0	0	0	0	0
Millet_GLEAN_10033202	118	308	341	221	271
Millet_GLEAN_10033201	3042	3438	3088	2182	3881
Millet_GLEAN_10033200	0	0	0	0	0
Millet_GLEAN_10033199	0	0	0	0	0
Millet_GLEAN_10033198	405	1391	1277	592	1727
Millet_GLEAN_10033197	0	0	0	0	0
Millet_GLEAN_10033196	3135	8949	11148	3345	15385
Millet_GLEAN_10033195	0	0	0	0	0
Millet_GLEAN_10033194	874	2074	1933	1012	2697
Millet_GLEAN_10033193	580	1283	1341	844	1834
Millet_GLEAN_10033192	1260	3572	3553	1654	4590
Millet_GLEAN_10033191	7	6	8	3	8
Millet_GLEAN_10033190	0	0	0	0	0
Millet_GLEAN_10033189	1008	2744	2864	1314	3761
Millet_GLEAN_10033188	1137	2559	2358	1418	3077
Millet_GLEAN_10033187	0	0	0	0	0
Millet_GLEAN_10033186	102	166	115	112	256
Millet_GLEAN_10033185	299	769	465	458	580
Millet_GLEAN_10033184	12	18	5	24	10
Millet_GLEAN_10033183	4617	11401	13317	3865	26646
Millet_GLEAN_10033182	120	559	220	930	499
Millet_GLEAN_10033181	64	124	177	62	126
Millet_GLEAN_10033180	348	631	578	220	599
Millet_GLEAN_10033179	793	999	395	168	268
Millet_GLEAN_10033178	22	16	16	14	44
Millet_GLEAN_10033177	1594	3307	2636	1782	4166
Millet_GLEAN_10033176	199	423	452	269	648
Millet_GLEAN_10033175	836	2284	2064	1427	2445
Millet_GLEAN_10033174	0	0	0	0	0
Millet_GLEAN_10033173	0	16	2	7	1
Millet_GLEAN_10033172	19580	52085	48509	22555	91541
Millet_GLEAN_10033171	10	1	6	5	34
Millet_GLEAN_10033170	291	617	787	253	929
Millet_GLEAN_10033169	79	207	213	67	206
Millet_GLEAN_10033168	1	6	4	1	10
Millet_GLEAN_10033167	0	0	0	0	0
Millet_GLEAN_10033166	0	0	0	0	0
Millet_GLEAN_10033165	9	15	7	1	16
Millet_GLEAN_10033164	0	0	0	0	0
Millet_GLEAN_10033163	8	38	13	0	10
Millet_GLEAN_10033162	552	1171	1207	587	1513
Millet_GLEAN_10033161	0	0	0	0	0
Millet_GLEAN_10033160	8	2	0	3	0
Millet_GLEAN_10033159	6	85	32	2	18
Millet_GLEAN_10033158	8	32	15	32	21
Millet_GLEAN_10033157	0	0	0	0	1
Millet_GLEAN_10033156	0	0	0	0	0
Millet_GLEAN_10033155	0	0	0	0	0
Millet_GLEAN_10033154	0	0	0	0	0
Millet_GLEAN_10033153	0	8	0	0	1
Millet_GLEAN_10033152	0	0	0	0	0
Millet_GLEAN_10033151	0	0	0	0	0
Millet_GLEAN_10033150	0	0	0	0	0
Millet_GLEAN_10033149	0	0	0	0	0
Millet_GLEAN_10033148	6	11	4	12	40
Millet_GLEAN_10033147	10	76	54	38	80
Millet_GLEAN_10033146	0	2	0	0	0
Millet_GLEAN_10033145	0	0	2	0	2
Millet_GLEAN_10033144	1918	4142	3269	3099	4464
Millet_GLEAN_10033143	4	7	16	6	18
Millet_GLEAN_10033142	763	2133	2043	954	2802
Millet_GLEAN_10033141	15	11	6	26	55
Millet_GLEAN_10033140	253	884	614	380	826
Millet_GLEAN_10033139	342	798	968	627	1208
Millet_GLEAN_10033138	853	2119	1629	1169	2526
Millet_GLEAN_10033137	44	43	84	98	152
Millet_GLEAN_10033136	787	1637	1821	954	2254
Millet_GLEAN_10033135	376	840	768	781	1567
Millet_GLEAN_10033134	60	56	78	76	143
Millet_GLEAN_10033133	1264	3071	2651	1551	3451
Millet_GLEAN_10033132	1524	3818	3808	2373	5903
Millet_GLEAN_10033131	0	0	0	0	0
Millet_GLEAN_10033130	230	563	393	300	572
Millet_GLEAN_10033129	4289	11038	9167	6087	13303
Millet_GLEAN_10033128	0	0	0	0	0
Millet_GLEAN_10033127	572	737	855	543	1146
Millet_GLEAN_10033126	0	0	1	0	0
Millet_GLEAN_10033125	817	1418	1695	657	3190
Millet_GLEAN_10033124	16	75	4	14	34
Millet_GLEAN_10033123	1161	2818	2664	1331	3882
Millet_GLEAN_10033122	112	416	353	232	783
Millet_GLEAN_10033121	4	12	1	1	0
Millet_GLEAN_10033120	0	0	0	0	0
Millet_GLEAN_10019613	0	4	6	0	0
Millet_GLEAN_10019614	0	0	0	0	0
Millet_GLEAN_10019615	0	0	0	0	0
Millet_GLEAN_10019616	0	0	0	0	0
Millet_GLEAN_10019617	0	0	0	0	0
Millet_GLEAN_10019618	0	0	0	0	0
Millet_GLEAN_10019619	0	0	0	0	0
Millet_GLEAN_10019620	325	953	820	579	1238
Millet_GLEAN_10019621	0	0	0	0	0
Millet_GLEAN_10019622	846	2077	1870	1182	2746
Millet_GLEAN_10019623	12810	23798	28935	13496	37616
Millet_GLEAN_10019624	51	251	216	97	355
Millet_GLEAN_10019625	8	44	41	20	34
Millet_GLEAN_10019626	42	138	101	75	173
Millet_GLEAN_10019627	69	108	80	58	171
Millet_GLEAN_10019628	0	0	0	0	0
Millet_GLEAN_10019629	0	0	0	0	0
Millet_GLEAN_10019630	0	0	0	0	0
Millet_GLEAN_10019631	277	337	557	581	840
Millet_GLEAN_10019632	0	0	0	0	0
Millet_GLEAN_10019633	0	0	0	0	0
Millet_GLEAN_10019634	0	0	0	0	0
Millet_GLEAN_10019635	1	40	0	0	0
Millet_GLEAN_10019636	0	0	0	0	0
Millet_GLEAN_10019637	389	675	489	481	814
Millet_GLEAN_10019638	0	0	0	0	0
Millet_GLEAN_10019639	0	0	0	0	0
Millet_GLEAN_10019640	1249	2578	2476	1282	4095
Millet_GLEAN_10019641	84	237	157	172	389
Millet_GLEAN_10019642	131	203	223	147	380
Millet_GLEAN_10019643	31	41	50	30	58
Millet_GLEAN_10019644	262	360	465	463	774
Millet_GLEAN_10019645	0	5	4	0	0
Millet_GLEAN_10019646	0	0	0	0	0
Millet_GLEAN_10019647	0	0	0	0	2
Millet_GLEAN_10019648	0	0	0	0	0
Millet_GLEAN_10019649	0	0	0	0	0
Millet_GLEAN_10019650	6536	9974	7546	6116	17229
Millet_GLEAN_10019651	175	519	298	328	482
Millet_GLEAN_10019652	0	3	0	28	12
Millet_GLEAN_10019653	229	486	448	416	746
Millet_GLEAN_10019654	0	0	0	0	0
Millet_GLEAN_10019655	0	0	0	0	0
Millet_GLEAN_10019656	939	1729	1508	969	2339
Millet_GLEAN_10019657	0	0	0	0	0
Millet_GLEAN_10019658	6514	14719	14348	7927	19859
Millet_GLEAN_10019659	525	1224	1237	554	1652
Millet_GLEAN_10019660	1219	2329	2253	1367	2419
Millet_GLEAN_10019661	55	85	164	114	193
Millet_GLEAN_10019662	0	0	0	0	0
Millet_GLEAN_10019663	0	0	0	0	0
Millet_GLEAN_10019664	533	1506	1576	1038	1873
Millet_GLEAN_10019665	349	737	1020	359	1302
Millet_GLEAN_10019666	20	47	47	26	49
Millet_GLEAN_10019667	5622	14257	15299	5009	24878
Millet_GLEAN_10019668	50	92	97	39	94
Millet_GLEAN_10019669	1177	2185	2003	1178	2902
Millet_GLEAN_10019670	242	1380	658	452	983
Millet_GLEAN_10019671	0	0	0	0	0
Millet_GLEAN_10019672	438	1131	1095	434	1605
Millet_GLEAN_10019673	2154	5659	4945	2838	6450
Millet_GLEAN_10019674	0	0	0	0	0
Millet_GLEAN_10019675	0	0	0	0	0
Millet_GLEAN_10019676	0	0	0	0	0
Millet_GLEAN_10019677	1826	4622	3928	3065	4774
Millet_GLEAN_10019678	42	215	219	77	341
Millet_GLEAN_10019679	51	196	90	100	113
Millet_GLEAN_10019680	749	3099	2290	1132	3483
Millet_GLEAN_10019681	5180	13475	14714	7136	12506
Millet_GLEAN_10019682	178	539	389	116	288
Millet_GLEAN_10019683	2	0	3	0	1
Millet_GLEAN_10019684	0	0	0	0	0
Millet_GLEAN_10019685	0	0	0	2	0
Millet_GLEAN_10019686	0	0	0	0	0
Millet_GLEAN_10019687	4807	14604	11423	5205	11781
Millet_GLEAN_10019688	8981	13803	12971	8853	16621
Millet_GLEAN_10019689	6	0	0	0	0
Millet_GLEAN_10019690	24	43	21	26	49
Millet_GLEAN_10019691	100	295	127	95	193
Millet_GLEAN_10019692	12	53	35	6	35
Millet_GLEAN_10019693	231	338	396	377	468
Millet_GLEAN_10019694	732	1686	1988	3309	2395
Millet_GLEAN_10019695	0	0	0	0	0
Millet_GLEAN_10019696	6	53	2	10	7
Millet_GLEAN_10019697	0	3	2	11	7
Millet_GLEAN_10019698	0	0	0	0	0
Millet_GLEAN_10019699	6	17	52	6	65
Millet_GLEAN_10019700	0	0	0	0	0
Millet_GLEAN_10019701	0	0	0	0	0
Millet_GLEAN_10019702	0	6	1	0	9
Millet_GLEAN_10019703	0	0	0	0	0
Millet_GLEAN_10019704	380	800	847	251	950
Millet_GLEAN_10019705	247	286	375	363	325
Millet_GLEAN_10019706	0	0	0	0	4
Millet_GLEAN_10019707	83	401	231	97	375
Millet_GLEAN_10019708	81	307	156	169	245
