Control.SUZ12G.946,173.SUZ12G.946,ControlSUZ12G306,173SUZ12G306,Control.SUZ12A.1296,173.SUZ12A.1296,ControlSUZ12A1021,173SUZ12A1021,Control.SUZ12G.946,173.SUZ12G.946,ControlSUZ12G306,173SUZ12G306,Control.SUZ12A.1296,173.SUZ12A.1296,ControlSUZ12A1021,173SUZ12A1021,SUZ12G.946,SUZ12G306,SUZ12A.1296,SUZ12A1021,SUZ12G.946,SUZ12G306P,SUZ12A.1296,SUZ12A1021P
6.9,5.8,4,6.1,6,,8,,4,3.7,1.9,2.3,3,,2.3,,-0.741025641,0.327,,,0.576923077,0.227,,
5.7,3.8,6.7,3.4,6.6,,5.1,,2.2,2.6,2.4,1.6,1.8,,2.3,,-2.741025641,-2.373,,,-0.523076923,-0.473,,
4,,7.6,5.6,7.6,,8.2,,2.5,,1.5,3,2.5,,2.5,,,-0.173,,,,0.927,,
4.1,,6.3,5.2,8.7,,9.7,,2.8,,2.4,1.5,3.1,,3.1,,,-0.573,,,,-0.573,,
7,,4.7,6.7,5.3,,7.6,,2.8,,2,3.1,2.7,,2.5,,,0.927,,,,1.027,,
7.3,,5,4.6,7.1,,6.6,,2.9,,2.4,3.6,2.9,,2.5,,,-1.173,,,,1.527,,
6.5,,8,6,6.9,,4.4,,3.1,,2.8,3.3,3.3,,2.9,,,0.227,,,,1.227,,
5.5,,6,5.3,7,,6.3,,4,,3,3.1,2.4,,2.1,,,-0.473,,,,1.027,,
5.5,,3.5,6.9,6.4,,3.8,,1.8,,1.6,2.8,3,,2.4,,,1.127,,,,0.727,,
,,5.8,5.6,7.2,,4.5,,,,2.5,2,1.8,,3,,,-0.173,,,,-0.073,,
,,6.4,,9.8,,7,,,,1.3,,1.9,,2.5,,,,,,,,,
,,5.1,,6.2,,8.5,,,,2.3,,2.5,,3,,,,,,,,,
,,5.4,,7.1,,3.8,,,,2,,2.5,,2.9,,,,,,,,,
,,4,,6.8,,5.5,,,,1.4,,2.3,,2.5,,,,,,,,,
,,5.7,,4.4,,6.2,,,,1.4,,2.4,,2.8,,,,,,,,,
,,5.6,,8,,,,,,1.6,,2.4,,,,,,,,,,,
,,,,6.8,,,,,,,,3.1,,,,,,,,,,,
,,,,7.1,,,,,,,,2.4,,,,,,,,,,,
,,,,6,,,,,,,,2.6,,,,,,,,,,,
,,,,5.8,,,,,,,,2,,,,,,,,,,,
