DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	MSW
COLOR	#ff0000
FIELD_LABELS	MSW
MARGIN	0
STRIP_WIDTH	35
SHOW_INTERNAL	0
SHOW_TREE	1
COLOR_MIN	#3182bd
COLOR_MAX	#de2d26
USE_MID_COLOR	1
COLOR_MID	#ffff00
DATA
OTU_19207|c_Clostridia	
OTU_12129|f_Bacillaceae	-0.29001
OTU_15598|f_Bacillaceae	0.29997
OTU_19835|f_Bacillaceae	
OTU_22216|f_Bacillaceae	
OTU_22228|f_Bacillaceae	
OTU_22288|f_Bacillaceae	0.25793
OTU_24419|f_Bacillaceae	-0.20215
OTU_27554|f_Bacillaceae	0.2654
OTU_27556|f_Bacillaceae	
OTU_27966|f_Bacillaceae	
OTU_28133|f_Bacillaceae	-0.30044
OTU_28807|f_Bacillaceae	-0.47868
OTU_6683|f_Bacillaceae1	-0.21793
OTU_27607|f_Planococcaceae	
OTU_4905|f_Planococcaceae	
OTU_11183|g_Bacillus	0.2123
OTU_19376|g_Bacillus	-0.17591
OTU_19414|g_Bacillus	
OTU_20216|g_Bacillus	
OTU_22143|g_Bacillus	
OTU_25704|g_Bacillus	0.14435
OTU_25881|g_Bacillus	
OTU_27582|g_Bacillus	0.12916
OTU_381|g_Bacillus	
OTU_3940|g_Bacillus	0.20014
OTU_54|g_Bacillus	
OTU_6832|g_Bacillus	-0.34029
OTU_28332|g_Falsibacillus	
OTU_342|g_Terribacillus	
OTU_11945|o_Bacillales	
OTU_22539|o_Bacillales	
OTU_29|o_Clostridiales	0.19439
OTU_59|g_Gemmatimonas	
OTU_14101|g_Latescibacteria	
OTU_172|g_Nitrospira	
OTU_242|g_Nitrospira	
OTU_346|g_Zavarzinella	0.18912
OTU_1001|c_Alphaproteobacteria	
OTU_297|c_Alphaproteobacteria	
OTU_5004|c_Alphaproteobacteria	
OTU_203|c_Betaproteobacteria	-0.1961
OTU_9|c_Betaproteobacteria	
OTU_228|c_Deltaproteobacteria	
OTU_15520|c_Gammaproteobacteria	
OTU_6073|c_Gammaproteobacteria	
OTU_11342|f_Comamonadaceae	
OTU_23110|f_Comamonadaceae	0.22638
OTU_25445|f_Comamonadaceae	
OTU_5262|f_Comamonadaceae	
OTU_8037|f_Comamonadaceae	
OTU_19907|f_Erythrobacteraceae	-0.11487
OTU_67|f_Erythrobacteraceae	
OTU_14413|f_Rhizobiaceae	
OTU_19369|f_Rhizobiaceae	
OTU_229|f_Rhodocyclaceae	
OTU_167|f_Syntrophobacteraceae	
OTU_10146|f_Xanthomonadaceae	
OTU_46|g_Acidovorax	0.35015
OTU_22618|g_Altererythrobacter	
OTU_1061|g_Aquabacterium	
OTU_21452|g_Aquabacterium	
OTU_178|g_Asticcacaulis	
OTU_20|g_Bradyrhizobium	
OTU_152|g_Byssovorax	
OTU_5219|g_Byssovorax	
OTU_84|g_Byssovorax	
OTU_156|g_Cystobacter	
OTU_2516|g_Devosia	
OTU_66|g_Ensifer	
OTU_1325|g_Haliangium	0.32299
OTU_194|g_Haliangium	
OTU_429|g_Herbaspirillum	-0.36133
OTU_16392|g_Hyphomicrobium	0.38802
OTU_16807|g_Lysobacter	
OTU_85|g_Lysobacter	
OTU_336|g_Massilia	
OTU_20156|g_Mesorhizobium	-0.19861
OTU_22|g_Mesorhizobium	
