DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	MSPW
COLOR	#ff0000
FIELD_LABELS	MSPW
MARGIN	0
STRIP_WIDTH	25
SHOW_INTERNAL	0
SHOW_TREE	1
COLOR_MIN	#1c9099
COLOR_MAX	#f03b20
USE_MID_COLOR	1
COLOR_MID	#ffff00
DATA
OTU_19171|k_Bacteria	
OTU_204|k_Bacteria	
OTU_21334|k_Bacteria	0.6802
OTU_23684|k_Bacteria	
OTU_4108|k_Bacteria	
OTU_4289|k_Bacteria	
OTU_6388|k_Bacteria	0.4661
OTU_6431|k_Bacteria	
OTU_676|k_Bacteria	-0.4887
OTU_77|k_Bacteria	
OTU_859|k_Bacteria	
OTU_100|k_Bacteria	
OTU_155|k_Bacteria	
OTU_16754|k_Bacteria	
OTU_127|g_Blastocatella	
OTU_148|g_Blastocatella	
OTU_205|g_Gp10	-1.0359
OTU_219|g_Gp3	
OTU_2422|g_Gp3	
OTU_25134|g_Gp3	
OTU_25463|g_Gp3	
OTU_493|g_Gp3	
OTU_798|g_Gp3	
OTU_24028|g_Gp4	
OTU_25|g_Gp4	
OTU_10646|g_Gp6	
OTU_16396|g_Gp6	
OTU_16465|g_Gp6	
OTU_17208|g_Gp6	
OTU_17600|g_Gp6	
OTU_19284|g_Gp6	
OTU_20590|g_Gp6	
OTU_2144|g_Gp6	
OTU_21573|g_Gp6	
OTU_21968|g_Gp6	
OTU_22329|g_Gp6	
OTU_22673|g_Gp6	
OTU_24870|g_Gp6	
OTU_2750|g_Gp6	
OTU_28080|g_Gp6	
OTU_28378|g_Gp6	
OTU_3745|g_Gp6	
OTU_51|g_Gp6	
OTU_87|g_Gp6	
OTU_88|g_Gp6	
OTU_9000|g_Gp6	
OTU_9170|g_Gp6	
OTU_22948|g_Gp7	
OTU_69|g_Gp7	
OTU_25484|f_Geodermatophilaceae	
OTU_22251|f_Micrococcaceae	
OTU_16737|f_Micromonosporaceae	-0.5101
OTU_10210|f_Pseudonocardiaceae	
OTU_12096|f_Pseudonocardiaceae	0.3181
OTU_1735|f_Pseudonocardiaceae	0.8742
OTU_21466|f_Pseudonocardiaceae	
OTU_28438|f_Pseudonocardiaceae	0.6931
OTU_452|c_Actinobacteria	
OTU_129|g_Actinophytocola	
OTU_625|g_Actinoplanes	-0.9032
OTU_18|g_Aeromicrobium	-1.1815
OTU_22257|g_Amycolatopsis	-0.7285
OTU_265|g_Amycolatopsis	0.6453
OTU_147|g_Conexibacter	
OTU_1817|g_Crossiella	
OTU_74|g_Friedmanniella	
OTU_78|g_Gaiella	
OTU_318|g_Geodermatophilus	
OTU_397|g_Ilumatobacter	0.8328
OTU_28653|g_Janibacter	
OTU_11372|g_Kitasatospora	
OTU_13220|g_Kitasatospora	
OTU_26487|g_Kitasatospora	
OTU_2749|g_Kitasatospora	
OTU_28317|g_Kitasatospora	
OTU_8|g_Kitasatospora	
OTU_15881|g_Kribbella	
OTU_117|g_Lechevalieria	
OTU_24323|g_Lechevalieria	-1.2427
OTU_4|g_Lentzea	-1.2245
OTU_31|g_Microbacterium	
OTU_11612|g_Nocardioides	
OTU_13118|g_Nocardioides	-0.515
OTU_213|g_Nocardioides	0.5296
OTU_23|g_Nocardioides	0.984
OTU_3689|g_Nocardioides	0.4401
OTU_71|g_Nonomuraea	0.951
OTU_80|g_Phycicoccus	
OTU_136|g_Pseudonocardia	-1.0316
OTU_3030|g_Solirubrobacter	0.983
OTU_19141|g_Sporichthya	
OTU_1235|g_Streptomyces	
